post_id,sender_id,receiver_id,content,post_type,visibility,post_date,post_time
1,131,20,adapter,Story,true,2023-08-11,5:32
2,92,849,Diverse,Message,false,2023-04-02,5:42
3,598,439,flexibility,Story,true,2023-03-10,19:06
4,354,77,neural-net,Story,true,2023-12-21,18:46
5,157,205,User-friendly,Story,false,2023-01-02,4:16
6,66,623,dedicated,Story,true,2023-06-04,21:35
7,425,868,Innovative,Story,true,2023-07-02,14:04
8,591,601,policy,Story,false,2023-10-01,5:25
9,585,395,Vision-oriented,Message,true,2023-01-21,14:33
10,711,173,encompassing,Message,false,2023-10-29,4:02
11,869,180,superstructure,Message,true,2024-02-15,5:07
12,144,822,even-keeled,Story,false,2023-05-19,16:34
13,199,758,conglomeration,Message,false,2023-12-20,0:18
14,309,648,full-range,Story,false,2023-04-12,0:00
15,138,819,User-centric,Message,false,2023-11-28,13:42
16,339,499,encryption,Story,false,2023-10-20,12:40
17,29,815,scalable,Story,true,2023-04-06,22:04
18,921,724,Reduced,Story,false,2023-01-03,11:51
19,412,432,Public-key,Story,true,2023-03-17,0:44
20,977,283,Re-engineered,Story,false,2023-02-11,20:29
21,443,422,disintermediate,Message,false,2023-08-30,13:52
22,577,735,Reactive,Message,true,2023-07-05,12:00
23,134,67,optimizing,Message,false,2023-08-08,11:32
24,271,292,Team-oriented,Message,true,2023-04-07,22:40
25,784,601,software,Message,true,2023-01-25,14:25
26,821,927,Profound,Story,true,2024-01-13,22:40
27,313,850,open system,Story,true,2023-03-24,21:53
28,185,686,logistical,Story,true,2023-05-05,11:24
29,73,433,focus group,Story,false,2023-05-12,18:40
30,582,315,Compatible,Message,false,2024-02-15,4:05
31,87,505,Balanced,Message,false,2023-01-23,13:17
32,96,113,installation,Message,false,2023-09-14,18:42
33,254,818,matrix,Story,true,2023-08-16,1:51
34,269,566,3rd generation,Story,true,2023-11-11,14:48
35,774,224,middleware,Message,true,2024-02-09,8:02
36,491,407,maximized,Story,true,2024-01-23,17:09
37,272,262,internet solution,Message,false,2023-11-17,18:45
38,666,550,homogeneous,Message,false,2023-02-12,0:31
39,760,97,stable,Message,true,2023-08-09,14:30
40,349,665,empowering,Message,false,2024-02-02,11:36
